256,16,128,198,199
32,8,32,269,253
32,8,32,220,253
32,8,32,172,253
32,8,16,132,132
64,8,32,318,290
64,16,32,367,381
64,16,32,489,381
64,16,32,636,749
128,32,64,1144,1238
0,1,2,38,23
4,1,6,40,24
65,1,8,92,70
65,1,8,138,117
0,1,4,10,15
0,4,32,35,64
8,4,15,19,23
0,7,32,28,29
0,5,16,31,22
142,8,64,120,124
0,5,32,30,35
0,5,20,33,39
0,6,64,61,40
0,6,64,76,45
0,1,12,23,28
4,1,3,69,21
0,1,6,33,28
4,1,3,27,22
4,1,5,77,28
4,1,6,27,27
131,12,24,274,102
131,12,24,368,102
30,12,24,32,74
30,12,24,63,74
30,12,24,106,138
30,12,24,208,136
8,1,4,20,23
8,1,5,29,29
8,1,5,71,44
8,3,5,26,30
8,3,5,36,41
8,3,5,40,74
8,3,6,52,74
8,3,6,60,74
9,3,12,72,54
9,3,12,72,41
8,1,1,18,18
0,1,1,20,28
4,1,5,40,36
8,1,8,62,38
0,1,1,24,34
0,1,1,24,19
16,1,3,138,72
0,1,2,36,36
16,1,2,26,30
16,1,2,60,56
16,1,2,71,42
0,1,4,12,34
0,1,4,14,34
0,1,4,20,34
0,1,4,16,34
0,1,4,22,34
0,8,20,36,19
64,1,38,144,75
64,1,38,144,113
128,1,38,259,157
0,3,10,17,18
0,3,10,26,20
0,3,24,32,28
8,3,19,32,33
8,3,24,62,47
8,3,48,64,54
0,3,24,22,20
0,6,24,36,23
6,6,24,44,25
6,6,24,50,52
0,1,24,45,27
6,1,24,53,50
6,6,24,36,18
6,1,31,84,53
0,2,4,16,23
8,3,64,38,30
8,2,112,38,73
0,1,2,16,20
0,3,6,22,25
0,3,6,29,28
0,4,8,40,29
8,1,20,35,32
32,1,20,134,175
32,1,54,66,57
32,1,54,141,181
32,1,54,189,181
8,1,20,22,32
1,6,12,132,82
64,12,16,237,171
64,16,24,465,361
64,8,24,465,350
0,8,24,277,220
0,8,16,185,113
0,1,1,6,15
0,1,5,24,21
16,1,6,45,35
0,1,1,7,18
0,1,1,13,20
0,1,1,16,20
0,1,1,32,28
0,1,1,32,45
0,1,2,11,18
0,1,2,11,17
4,1,2,18,26
8,1,2,22,28
0,3,6,37,28
8,3,6,40,31
8,3,6,34,31
8,1,6,50,42
16,1,6,76,76
16,1,6,66,76
2,3,6,24,26
8,1,4,49,59
16,3,5,66,65
8,6,12,100,101
32,6,12,133,116
0,0,0,12,18
0,0,0,18,20
0,0,0,20,20
0,3,6,27,30
8,3,6,45,44
8,1,6,56,44
24,1,6,70,82
24,1,6,80,82
48,1,10,136,128
0,2,6,16,37
24,2,6,26,46
24,3,6,32,46
12,3,16,45,80
24,6,16,54,88
24,6,16,65,88
0,8,128,30,33
16,1,3,50,46
2,1,5,40,29
32,1,6,62,53
32,1,6,60,53
4,1,6,50,41
16,1,6,66,86
32,1,6,86,95
64,5,8,74,107
64,5,8,93,117
64,5,10,111,119
64,8,16,143,120
16,6,8,105,48
32,8,16,214,126
64,8,24,277,266
64,8,24,370,270
128,16,32,510,426
32,8,24,214,151
64,8,24,326,267
256,16,24,510,603
0,1,4,8,19
0,1,6,12,21
0,1,6,17,26
0,1,8,21,35
0,1,8,24,41
0,1,8,34,47
0,1,8,42,62
0,1,8,46,78
32,16,32,51,80
32,16,32,116,80
64,4,8,100,142
160,4,8,140,281
128,16,32,212,190
0,1,2,25,21
0,1,4,30,25
64,1,5,41,67
0,1,7,25,24
0,4,7,50,24
1,1,8,50,64
2,1,5,30,25
2,3,8,32,20
8,1,14,38,29
16,1,14,60,43
32,1,13,109,53
8,1,3,6,19
8,1,5,11,22
8,3,8,22,31
16,6,16,33,41
16,4,14,58,47
32,4,12,130,99
8,6,8,75,67
32,6,12,113,81
64,12,24,188,149
32,8,16,173,183
64,12,16,248,275
128,24,32,405,382
32,5,28,70,56
24,6,26,114,182
48,26,52,208,227
112,52,104,307,341
112,52,104,397,360
96,12,176,915,919
128,12,176,1150,978
0,1,3,12,24
0,1,3,14,24
0,1,3,18,24
0,1,3,21,24
0,1,8,42,37
32,2,8,46,50
0,2,14,52,41
32,0,0,67,47
0,0,0,45,25
